jd,rv,erv
9800.206551790232,-0.3502044052640196,2.944158232153645
9801.533370340696,-4.298428502682571,2.6818160056767995
9820.026332203026,2.71979823619501,2.512781798468523
9821.540279375184,7.23758757835302,2.978651888294104
9825.101642599142,1.2312399389970858,2.8508875345195035
9829.754455771917,4.446794657747924,3.7562660477184693
9835.56988010348,-6.005441760532672,2.9631990953558813
9839.539474224695,-6.218563812648512,3.3253726072515004
9853.436270775932,-3.1667717751497406,2.9202055612557687
9859.17349560819,-0.2617428567085198,2.8004944167300057
9861.584785877048,-1.9413181466554295,2.554799503623987
9869.84009233012,7.531449366447088,2.6784416980482324
9870.215034815206,-1.036486816943965,3.193775644160296
9875.494438609647,-1.9763126553931416,3.1824873743361692
9876.649956749976,3.2757604719667275,2.9652170724425906
9891.90676989192,-3.053207626405089,2.8446662529265603
9904.945556762204,-2.4428578831003374,3.0644125709268883
9905.905249025269,-9.233490269621889,2.950377766615834
9914.268087647579,-2.005678844179464,3.3958903187098484
9927.111205456997,5.090519941919792,3.1066309563590444
9932.337919683288,4.700755299345164,2.954617022610729
9935.464402189711,6.08369281381109,2.8789684149210855
9936.082256345759,5.142005504545258,2.7755669571059807
9938.592373875532,8.258278760134159,2.2704566127925387
9946.050207222464,0.39707010563587586,2.813949653262029
9946.69188772473,0.7074207012241904,3.275164335714907
9962.479699803242,-1.3331048126062517,2.697449465144526
9964.276022142516,-7.0849936498366795,2.8498592569461407
9979.639776177262,0.13652410851468977,2.9549348376773104
9980.222982705789,-1.2602940660202946,2.3871891104109775
9989.742638179681,1.9182854476339535,2.8988902463328197
9992.726726289284,5.585367628227276,2.975890851538165
9993.638392101526,5.800456091793487,2.8604187489619197
10002.205504405956,4.084825876656195,3.239518761162544
10004.816788692993,7.439658954540023,3.0075422651805366
10012.623056008557,-3.1435595367164826,3.1402744392633246
10012.853139600376,2.819045257215873,2.9956454667521175
10013.567094230755,-2.893456139199758,2.6839720159509683
10016.94728433009,-0.7247267594839721,2.9894599094519134
10024.665671793542,-4.552497545556802,3.2338241390470865
10031.140611988389,-1.314767935838801,3.4041593481576613
10039.249345766248,-3.8950204346115473,3.063570835926538
10052.692276252152,2.7722437434453258,2.764357039846992
10074.51987566296,1.8199944164425699,3.055510602156011
10075.101168206143,-5.670725376007756,2.4524412515413245
10075.785919797892,0.49996604634073893,3.3401154193102993
10079.995586714305,-8.190501922128457,3.3035145647354964
10084.084707448845,-1.6721608156930294,2.8554136099632004
10084.360456190438,-5.909753571174375,3.0653629795660655
10089.368147571447,-7.748688581213338,2.5483542894785276
