jd,rv,erv
9800.206551790232,-0.3502044052640196,2.944158232153645
9801.533370340696,-4.298428502682571,2.6818160056767995
9820.026332203026,2.71979823619501,2.512781798468523
9821.540279375184,7.23758757835302,2.978651888294104
9825.101642599142,1.2312399389970858,2.8508875345195035
9829.754455771916,4.446794657747924,3.7562660477184697
9835.56988010348,-6.005441760532672,2.9631990953558813
9839.539474224695,-6.218563812648512,3.3253726072515004
9853.436270775932,-3.1667717751497406,2.9202055612557687
9859.17349560819,-0.2617428567085198,2.8004944167300057
9861.584785877048,-1.9413181466554297,2.554799503623987
9869.84009233012,7.531449366447088,2.6784416980482324
9870.215034815206,-1.036486816943965,3.193775644160296
9875.494438609649,-1.9763126553931416,3.1824873743361692
9876.649956749976,3.2757604719667275,2.9652170724425906
